dataset,fill_acc,abstain_acc,fill_n,abstain_n,fill_correct,abstain_correct
FUNSD,0.13513513513513514,0.8132635253054101,407,573,55,466
XFUND-DE,0.3008130081300813,0.7722222222222223,123,180,37,139
